Index	Verb	Class number	Subclass	Example lemma	Stem	Regularity	Initial segment	Regular category	Affix	Translation	Transitivity																																																										
2657	սիգալ	6		կարդալ	սիգ	Regular	C	A-Class	-ալ	To strut, to strut along, to flaunt, to bridle up.	Transitive																																																										
2658	սիրաբանիլ	4	Basic	խօսիլ	սիրաբան	Regular	C	I-Class	-իլ		Intransitive																																																										
2659	սիրահարուիլ	4	Passive	բուժուիլ	սիրահար	Regular	C	Passive	-ուիլ	To fall in love, to make love, to burn for, to become enamoured of.	Intransitive																																																										
2660	սիրաշահիլ	4	Basic	խօսիլ	սիրաշահ	Regular	C	I-Class	-իլ	To win someone over, to gain, to win.	Transitive																																																										
2661	սիրել	2		քաղել	սիր	Regular	C	E-Class	-ել	To love, to be fond of, to like, to have a passion for, to delight in, to have an affection for, to be in love with.	Transitive																																																										
2662	սիրուիլ	4	Passive	բուժուիլ	սիր	Regular	C	Passive	-ուիլ	To be loved.	Intransitive																																																										
2663	սլանալ	20		նիհարնալ	սլա	Regular	C	Inchoative	-նալ	To fly about, to take wings, to soar, to run fast, to dart, to rush on.	Intransitive																																																										
2664	սխալիլ	4	Basic	խօսիլ	սխալ	Regular	C	I-Class	-իլ	To miss, to err, to fail, to mistake, to be mistaken, to transgress, to blunder.	Intransitive																																																										
2665	սկզբնատառել	2		քաղել	սկզբնատառ	Regular	C	E-Class	-ել		Transitive																																																										
2666	սկզբնաւորել	2		քաղել	սկզբնաւոր	Regular	C	E-Class	-ել	To play first, to begin, to set out.	Transitive																																																										
2667	սկսիլ	56		նստիլ	սկս	Irregular	C		-իլ	To begin, to commence, to initiate, to originate, to lead, to start; to set out, to play first.	Intransitive																																																										
2668	սկրթել	2		քաղել	սկրթ	Regular	C	E-Class	-ել	To excoriate, to scratch, to graze, to flay.	Transitive																																																										
2669	սղագրել	2		քաղել	սղագր	Regular	C	E-Class	-ել	To write in shorthand, to report.	Transitive																																																										
2670	սղել	2		քաղել	սղ	Regular	C	E-Class	-ել	To rise, to increase, to get dearer. To raise the price, to outbid, to overbid, to increase prices.	Both																																																										
2671	սղիլ	4	Basic	խօսիլ	սղ	Regular	C	I-Class	-իլ		Intransitive																																																										
2672	սղկել	2		քաղել	սղկ	Regular	C	E-Class	-ել	To grind, to pound, to crush, to bruise.	Transitive																																																										
2673	սղմեցնել	10	Basic	մօտեցնել	սղմե	Regular	C	Causative	-ցնել	To contain, to comprise, to hold, to hold in, to confine, to keep within.	Transitive																																																										
2674	սղմիլ	4	Basic	խօսիլ	սղմ	Regular	C	I-Class	-իլ	To be contained, to be comprised, to get in, to go in, to be entered.	Intransitive																																																										
2675	սղոցել	2		քաղել	սղոց	Regular	C	E-Class	-ել	To saw, to cut with a saw.	Transitive																																																										
2676	սմքիլ	4	Basic	խօսիլ	սմք	Regular	C	I-Class	-իլ	To be depressed, dejected, to stoop, to be cast down.	Intransitive																																																										
2677	սնանիլ	4	Basic	խօսիլ	սնան	Regular	C	I-Class	-իլ	To feed, to live, to support one's self, to feed upon, to be fed, to be nourished, to be kept up, to be supported.	Intransitive																																																										
2678	սնանկանալ	20		նիհարնալ	սնանկա	Regular	C	Inchoative	-նալ	To fail, to become bankrupt.	Intransitive																																																										
2679	սնանկացնել	10	Basic	մօտեցնել	սնանկա	Regular	C	Causative	-ցնել	To let go to bankruptcy, to declare the bankruptcy of.	Transitive																																																										
2680	սնգուրել	2		քաղել	սնգուր	Regular	C	E-Class	-ել	To paint the face, to rouge, to bedoub.	Transitive																																																										
2681	սնուցանել	12		ծանուցանել	սնուց	Archaic	C		-անել	To nourish, to feed, to nurse, to foster, to maintain, to entertain.	Transitive																																																										
2682	սոթտել	2		քաղել	սոթտ	Regular	C	E-Class	-ել	To turn up, to tuck up, to raise, to lift up.	Transitive																																																										
2683	սոթտուիլ	4	Passive	բուժուիլ	սոթտ	Regular	C	Passive	-ուիլ	To turn up, to tuck up one's sleeves, to get ready.	Intransitive																																																										
2684	սողալ	6		կարդալ	սող	Regular	C	A-Class	-ալ	Jo creep, to crawl, to wriggle.	Intransitive																																																										
2685	սողոսկիլ	4	Basic	խօսիլ	սողոսկ	Regular	C	I-Class	-իլ	To slip, to slip over, to slide in, to creep, to insinuate.	Intransitive																																																										
2686	սոնքալ	6		կարդալ	սոնք	Regular	C	A-Class	-ալ	To swell, to grow turgid, to be puffed up.	Intransitive																																																										
2687	սոսկալ	6		կարդալ	սոսկ	Regular	C	A-Class	-ալ	To get horror, to be seized with horror, to be afraid, to dread, to tremble, to be frightened, to be terrified.	Intransitive																																																										
2688	սոսկացնել	10	Basic	մօտեցնել	սոսկա	Regular	C	Causative	-ցնել	To terrify, to frighten, to dismay, to strike with terror, to make to tremble with fright.	Transitive																																																										
2689	սոսնձել	2		քաղել	սոսնձ	Regular	C	E-Class	-ել	To paste, to glue, to size.	Transitive																																																										
2690	սոսորդել	2		քաղել	սոսորդ	Regular	C	E-Class	-ել	To gargle one's throat.	Intransitive																																																										
2691	սորիլ	4	Basic	խօսիլ	սոր	Regular	C	I-Class	-իլ		Intransitive																																																										
2692	սորսորիլ	4	Basic	խօսիլ	սորսոր	Regular	C	I-Class	-իլ		Intransitive																																																										
2693	սորվիլ	4	Basic	խօսիլ	սորվ	Regular	C	I-Class	-իլ	To learn, to be informed of, to study, to instruct, to inform, to improve one's self.	Both																																																										
2694	սուաղիլ	4	Basic	խօսիլ	սուաղ	Regular	C	I-Class	-իլ	To be hungry, to feel unwell of hunger.	Intransitive																																																										
2695	սուզել	2		քաղել	սուզ	Regular	C	E-Class	-ել		Transitive																																																										
2696	սուզուիլ	4	Passive	բուժուիլ	սուզ	Regular	C	Passive	-ուիլ		Intransitive																																																										
2697	սուլել	2		քաղել	սուլ	Regular	C	E-Class	-ել	To whistle, to hiss at.	Both																																																										
2698	սուղնալ	20		նիհարնալ	սուղ	Regular	C	Inchoative	-նալ	To get dearer, to grow dear, to rise in price.	Intransitive																																																										
2699	սուղցնել	10	Basic	մօտեցնել	սուղ	Regular	C	Causative	-ցնել	To raise the price of, to make dearer.	Transitive																																																										
2700	սուսերամարտիլ	4	Basic	խօսիլ	սուսերամարտ	Regular	C	I-Class	-իլ	To fight with sword, to fence.	Intransitive																																																										
2701	սուրալ	6		կարդալ	սուր	Regular	C	A-Class	-ալ	To run, to hasten, to run along, to gallop, to dash, to rush, to spring forth, to dart.	Intransitive																																																										
2702	սպաննել	2		քաղել	սպանն	Regular	C	E-Class	-ել	To kill, to slay, to slaughter, to murder, to butcher, to assassinate.	Transitive																																																										
2703	սպառազինել	2		քաղել	սպառազին	Regular	C	E-Class	-ել	To arm, to furnish with arms, to equip, to arm at all points.	Transitive																																																										
2704	սպառազինուիլ	4	Passive	բուժուիլ	սպառազին	Regular	C	Passive	-ուիլ	To be equipped, to arm one's self, to be armed from top to toe, to be armed cap-a-pie.	Intransitive																																																										
2705	սպառել	2		քաղել	սպառ	Regular	C	E-Class	-ել	To consume, to squander, to waste, to spend, to consummate, to use, to absorb, to swallow up, to exhaust.	Transitive																																																										
2706	սպառիլ	4	Basic	խօսիլ	սպառ	Regular	C	I-Class	-իլ	To be consumed, to decay, to waste away, to be exhausted, to expire, to finish, to dry up.	Intransitive																																																										
2707	սպառնալ	55		մնալ	սպառն	Irregular	C		-ալ	To menace, to threaten.	Transitive																																																										
2708	սպասարկել	2		քաղել	սպասարկ	Regular	C	E-Class	-ել		Intransitive																																																										
2709	սպասաւորել	2		քաղել	սպասաւոր	Regular	C	E-Class	-ել	To serve, to wait on, to attend, to be of use, to help, to be employed.	Transitive																																																										
2710	սպասել	2		քաղել	սպաս	Regular	C	E-Class	-ել		Both																																																										
2711	սպիանալ	20		նիհարնալ	սպիա	Regular	C	Inchoative	-նալ	To be cicatrized, to skin over.	Intransitive																																																										
2712	սպիացնել	10	Basic	մօտեցնել	սպիա	Regular	C	Causative	-ցնել	To mark with a scar, to scar, fo cicatrize.	Transitive																																																										
2713	սպրդեցնել	10	Basic	մօտեցնել	սպրդե	Regular	C	Causative	-ցնել	To slip in, to slide, to introduce slowly.	Transitive																																																										
2714	սպրդիլ	4	Basic	խօսիլ	սպրդ	Regular	C	I-Class	-իլ	To slip, to slide, to creep, to insinuate one's self.	Intransitive																																																										
2715	ստանալ	20		նիհարնալ	ստա	Regular	C	Inchoative	-նալ	To get, to take, to attain, to gain, to receive, to achieve, to acquire, to purchase, to obtain.	Intransitive																																																										
2716	ստանձնել	2		քաղել	ստանձն	Regular	C	E-Class	-ել	To take charge.	Transitive																																																										
2717	ստգտանել	2		քաղել	ստգտան	Regular	C	E-Class	-ել	To blame, to disapprove, to reproach.	Transitive																																																										
2718	ստել	2		քաղել	ստ	Regular	C	E-Class	-ել	To lie, to tell a lie, to tell a story, to tell an untruth, to fib.	Intransitive																																																										
2719	ստեղծել	2		քաղել	ստեղծ	Regular	C	E-Class	-ել	To create, to invent, to find out.	Transitive																																																										
2720	ստեղծուիլ	4	Passive	բուժուիլ	ստեղծ	Regular	C	Passive	-ուիլ	To be created.	Intransitive																																																										
2721	ստիպել	2		քաղել	ստիպ	Regular	C	E-Class	-ել	To hasten, to hurry, to press, to force, to constrain, to oblige by force.	Transitive																																																										
2722	ստիպուիլ	4	Passive	բուժուիլ	ստիպ	Regular	C	Passive	-ուիլ	To be pressed, to be in a hurry, to be obliged, to be forced, to to be constrained.	Intransitive																																																										
2723	ստկել	2		քաղել	ստկ	Regular	C	E-Class	-ել	To pick, to clean, to sift, to purl; to adulate.	Transitive																																																										
2724	ստորագծել	2		քաղել	ստորագծ	Regular	C	E-Class	-ել	To underline.	Transitive																																																										
2725	ստորագնահատել	2		քաղել	ստորագնահատ	Regular	C	E-Class	-ել	To underestimate.	Transitive																																																										
2726	ստորագրել	2		քաղել	ստորագր	Regular	C	E-Class	-ել	To subscribe, to sign, to underwrite.	Transitive																																																										
2727	ստորադասել	2		քաղել	ստորադաս	Regular	C	E-Class	-ել	To subordinate, to subdue, to submit.	Transitive																																																										
2728	ստորնանալ	20		նիհարնալ	ստորնա	Regular	C	Inchoative	-նալ	To abate, to decline, to sink.	Intransitive																																																										
2729	ստորոգել	2		քաղել	ստորոգ	Regular	C	E-Class	-ել	To specify, to attribute, to ascribe, to predicate.	Transitive																																																										
2730	ստուարանալ	20		նիհարնալ	ստուարա	Regular	C	Inchoative	-նալ	To become gross, bulky, to grow thick.	Intransitive																																																										
2731	ստուարացնել	10	Basic	մօտեցնել	ստուարա	Regular	C	Causative	-ցնել	To thicken, to make bigger, to enlarge, to make greater.	Transitive																																																										
2732	ստուգել	2		քաղել	ստուգ	Regular	C	E-Class	-ել	To certify, to verify, to assure, to control, to ascertain, to examine thoroughly.	Transitive																																																										
2733	ստուերագրել	2		քաղել	ստուերագր	Regular	C	E-Class	-ել	To sketch, to outline, to delineate, to trace, to make the first sketch.	Transitive																																																										
2734	ստուերել	2		քաղել	ստուեր	Regular	C	E-Class	-ել	To shade.	Transitive																																																										
2735	ստրկանալ	20		նիհարնալ	ստրկա	Regular	C	Inchoative	-նալ	To become a slave, to fall into slavery.	Intransitive																																																										
2736	ստրկացնել	10	Basic	մօտեցնել	ստրկա	Regular	C	Causative	-ցնել	To enslave, to reduce to slavery.	Transitive																																																										
2737	սրածել	2		քաղել	սրած	Regular	C	E-Class	-ել	To put to the sword.	Transitive																																																										
2738	սրատել	2		քաղել	սրատ	Regular	C	E-Class	-ել		Transitive																																																										
2739	սրբագործել	2		քաղել	սրբագործ	Regular	C	E-Class	-ել	To consecrate, to devote, to sanctify, to dedicate, to sanction.	Transitive																																																										
2740	սրբագրել	2		քաղել	սրբագր	Regular	C	E-Class	-ել	To correct, to rectify, to repair.	Transitive																																																										
2741	սրբանալ	20		նիհարնալ	սրբա	Regular	C	Inchoative	-նալ	To devote oneself, to become consecrated.	Intransitive																																																										
2742	սրբացնել	10	Basic	մօտեցնել	սրբա	Regular	C	Causative	-ցնել	To canonize, to sanctify.	Transitive																																																										
2743	սրբել	2		քաղել	սրբ	Regular	C	E-Class	-ել	To clean, to cleanse, to make clean, to purify, to scour, to wipe, to absterge.	Transitive																																																										
2744	սրդողեցնել	10	Basic	մօտեցնել	սրդողե	Regular	C	Causative	-ցնել		Transitive																																																										
2745	սրդողիլ	4	Basic	խօսիլ	սրդող	Regular	C	I-Class	-իլ	To be angry, to get into a passion.	Intransitive																																																										
2746	սրել	2		քաղել	սր	Regular	C	E-Class	-ել	To whet, to sharpen, to make sharp, to excite, to set an edge on.	Transitive																																																										
2747	սրսկել	2		քաղել	սրսկ	Regular	C	E-Class	-ել	To sprinkle, to asperse, to besprinkle.	Transitive																																																										
2748	սրսփալ	6		կարդալ	սրսփ	Regular	C	A-Class	-ալ		Intransitive																																																										
2749	սրտապնդել	2		քաղել	սրտապնդ	Regular	C	E-Class	-ել	To encourage, to stimulate.	Transitive																																																										
2750	սփռել	2		քաղել	սփռ	Regular	C	E-Class	-ել	To spill, to diffuse, to scatter, to distribute, to strew, to spread, to disseminate, to disperse.	Transitive																																																										
2751	սքանչանալ	20		նիհարնալ	սքանչա	Regular	C	Inchoative	-նալ	To admire, to be astonished, to wonder, to be surprised.	Intransitive																																																										
2752	սքանչացնել	10	Basic	մօտեցնել	սքանչա	Regular	C	Causative	-ցնել	To amaze, to enrapture, to ravish, to astonish, to surprise, to astound.	Transitive																																																										
2753	սքողել	2		քաղել	սքող	Regular	C	E-Class	-ել	To cover with a veil, to veil, to cover.	Transitive																																																										
2754	սքողուիլ	4	Passive	բուժուիլ	սքող	Regular	C	Passive	-ուիլ		Intransitive																																																										
2755	սքօղել	2		քաղել	սքօղ	Regular	C	E-Class	-ել	To veil, to muffle up, to cover with a veil.	Transitive																																																										
2756	սքօղուիլ	4	Passive	բուժուիլ	սքօղ	Regular	C	Passive	-ուիլ		Intransitive																																																										
2757	սօսափել	2		քաղել	սօսափ	Regular	C	E-Class	-ել		Intransitive																																																										
2758	վագել	2		քաղել	վագ	Regular	C	E-Class	-ել	To run, to precipitate, to rush forward.	Intransitive																																																										
2759	վազել	2		քաղել	վազ	Regular	C	E-Class	-ել	To run, to hasten, to dash, to rush, to spring, to take one's flight, to leap, to bound.	Intransitive																																																										
2760	վազվզել	2		քաղել	վազվզ	Regular	C	E-Class	-ել	To run here and there, to hop, to skip.	Intransitive																																																										
2761	վազվռտել	2		քաղել	վազվռտ	Regular	C	E-Class	-ել	To run here and there, to hop, to skip.	Intransitive																																																										
2762	վաթել	2		քաղել	վաթ	Regular	C	E-Class	-ել	To pour, to discharge, to empty.	Transitive																																																										
2763	վախճանիլ	4	Basic	խօսիլ	վախճան	Regular	C	I-Class	-իլ	To die, to expire, to decease, to pass away.	Intransitive																																																										
2764	վախնալ	20		նիհարնալ	վախ	Regular	C	Inchoative	-նալ	To fear, to be afraid, to be intimidated, to apprehend, to stand in awe.	Intransitive																																																										
2765	վախցնել	10	Basic	մօտեցնել	վախ	Regular	C	Causative	-ցնել	To frighten, to terrify, to intimidate.	Transitive																																																										
2766	վաճառել	2		քաղել	վաճառ	Regular	C	E-Class	-ել	To sell, to debit, to sell off.	Transitive																																																										
2767	վաճառուիլ	4	Passive	բուժուիլ	վաճառ	Regular	C	Passive	-ուիլ	To be sold.	Intransitive																																																										
2768	վայել	2		քաղել	վայ	Regular	C	E-Class	-ել	To deplore, to bewail, to mourn.	Intransitive																																																										
2769	վայելել	2		քաղել	վայել	Regular	C	E-Class	-ել	To enjoy, to possess, to to be in possession of.	Intransitive																																																										
2770	վայլել	2		քաղել	վայլ	Regular	C	E-Class	-ել	To suite, to become.	Intransitive																																																										
2771	վայրենանալ	20		նիհարնալ	վայրենա	Regular	C	Inchoative	-նալ	To become savage, wild, to grow inhuman, brutal, ferocious, cruel.	Intransitive																																																										
2772	վայրենացնել	10	Basic	մօտեցնել	վայրենա	Regular	C	Causative	-ցնել	To render savage, wild, to brutalize, to enrage.	Transitive																																																										
2773	վանդակել	2		քաղել	վանդակ	Regular	C	E-Class	-ել	To grate, to rail in, to trellis, to lattice, to bar.	Transitive																																																										
2774	վանդել	2		քաղել	վանդ	Regular	C	E-Class	-ել	To undo, to rout, to defeat, to upset, to waste, to discompose; to destroy.	Transitive																																																										
2775	վանել	2		քաղել	վան	Regular	C	E-Class	-ել	To push, to give a push, to expel, to drive out, to chase, to pursue, to repel.	Transitive																																																										
2776	վառել	2		քաղել	վառ	Regular	C	E-Class	-ել	To light up, to kindle, to set on fire, to enliven, to fire, to inflame, to provoke.	Transitive																																																										
2777	վառիլ	4	Basic	խօսիլ	վառ	Regular	C	I-Class	-իլ	To kindle, to be lighted, to catch fire, to take fire, to brighten up, to be inflamed.	Intransitive																																																										
2778	վաստակիլ	4	Basic	խօսիլ	վաստակ	Regular	C	I-Class	-իլ	To gain, to make to earn, to win, to get, to gain over, to deserve well, to be worthy of.	Intransitive																																																										
2779	վաստկիլ	4	Basic	խօսիլ	վաստկ	Regular	C	I-Class	-իլ		Both																																																										
2780	վատաբանել	2		քաղել	վատաբան	Regular	C	E-Class	-ել		Both																																																										
2781	վատանալ	20		նիհարնալ	վատա	Regular	C	Inchoative	-նալ	To become loose, slothful, faint-hearted.	Intransitive																																																										
2782	վատթարանալ	20		նիհարնալ	վատթարա	Regular	C	Inchoative	-նալ	To degenerate, to grow worse, to deteriorate, to get worse.	Intransitive																																																										
2783	վատթարացնել	10	Basic	մօտեցնել	վատթարա	Regular	C	Causative	-ցնել	To disennoble, to render degenerate, to debase, to make worse.	Transitive																																																										
2784	վատնել	2		քաղել	վատն	Regular	C	E-Class	-ել	To spend, to disburse, to dissipate, to waste, to lavish, to squander, to consume.	Transitive																																																										
2785	վարագուրել	2		քաղել	վարագուր	Regular	C	E-Class	-ել	To veil, to cover, to cloak, to blind.	Transitive																																																										
2786	վարակել	2		քաղել	վարակ	Regular	C	E-Class	-ել	To affect, to infect, to taint, to contaminate; to impede, to entangle.	Transitive																																																										
2787	վարակուիլ	4	Passive	բուժուիլ	վարակ	Regular	C	Passive	-ուիլ	To be infected with, to spread.	Intransitive																																																										
2788	վարանիլ	4	Basic	խօսիլ	վարան	Regular	C	I-Class	-իլ	To balance, to hesitate, to waver, to be beset, to be irresolute, to haggle, to be at a stand.	Intransitive																																																										
2789	վարատել	2		քաղել	վարատ	Regular	C	E-Class	-ել	To disperse, to scatter, to rout, to dispel, to spread, to broadcast.	Transitive																																																										
2790	վարարիլ	4	Basic	խօսիլ	վարար	Regular	C	I-Class	-իլ		Intransitive																																																										
2791	վարգել	2		քաղել	վարգ	Regular	C	E-Class	-ել	To trot, to run about, to toddle.	Intransitive																																																										
2792	վարդապետել	2		քաղել	վարդապետ	Regular	C	E-Class	-ել	To teach, to indoctrinate, to dogmatize, to instruct in.	Transitive																																																										
2793	վարել	2		քաղել	վար	Regular	C	E-Class	-ել	To labour, to till, to lead, to drive, to conduct, to direct, to guide, to convey.	Transitive																																																										
2794	վարժեցնել	10	Basic	մօտեցնել	վարժե	Regular	C	Causative	-ցնել	To exercise, to train up, to instruct, to educate, to teach, to accustom, to habituate, to inure.	Transitive																																																										
2795	վարժուիլ	4	Passive	բուժուիլ	վարժ	Regular	C	Passive	-ուիլ	To accustom, to inure one's self, to exercise, to be accustomed.	Intransitive																																																										
2796	վարկաբեկել	2		քաղել	վարկաբեկ	Regular	C	E-Class	-ել	To discredit, to bring into discredit.	Transitive																																																										
2797	վարկագրել	2		քաղել	վարկագր	Regular	C	E-Class	-ել		Transitive																																																										
2798	վարձատրել	2		քաղել	վարձատր	Regular	C	E-Class	-ել	To reward, to requite, to recompense, to give wages or salary to.	Transitive																																																										
2799	վարձել	2		քաղել	վարձ	Regular	C	E-Class	-ել	To let, to rent, to hire, to let out, to lease, to hold a wager, to keep in pay.	Transitive																																																										
2800	վարուիլ	4	Passive	բուժուիլ	վար	Regular	C	Passive	-ուիլ	To conduct, to behave one's self, to deal with, to lead, to guide one's self, to treat.	Intransitive																																																										
2801	վարսել	2		քաղել	վարս	Regular	C	E-Class	-ել	To drive in, to thrust in, to fasten in.	Transitive																																																										
2802	վաւերացնել	10	Basic	մօտեցնել	վաւերա	Regular	C	Causative	-ցնել	To ratify, to authenticate, to certify the authenticity.	Transitive																																																										
2803	վեհերիլ	4	Basic	խօսիլ	վեհեր	Regular	C	I-Class	-իլ	To be afraid, to take fright, to lose courage.	Intransitive																																																										
2804	վերաբերիլ	4	Basic	խօսիլ	վերաբեր	Regular	C	I-Class	-իլ	To refer, to belong, to appertain, to concern, to regard, to have a reference to.	Intransitive																																																										
2805	վերագնահատել	2		քաղել	վերագնահատ	Regular	C	E-Class	-ել	To reestimate, to overprize.	Transitive																																																										
2806	վերագրել	2		քաղել	վերագր	Regular	C	E-Class	-ել	To refer to, to attribute, to ascribe, to impute, to superscribe, to address.	Transitive																																																										
2807	վերադառնալ	40		դառնալ	վերադառն	Suppletive	C		-ալ	To return, to go back.	Intransitive																																																										
2808	վերադարձնել	10	Orthographic variant with affricate	դարձնել	վերադար	Regular	C	Causative	-ձնել	To cause to return, to transport, to return.	Transitive																																																										
2809	վերազինել	2		քաղել	վերազին	Regular	C	E-Class	-ել	To rearm, to reequip, to fit out again.	Transitive																																																										
2810	վերազինուիլ	4	Passive	բուժուիլ	վերազին	Regular	C	Passive	-ուիլ		Intransitive																																																										
2811	վերախմբել	2		քաղել	վերախմբ	Regular	C	E-Class	-ել	To rally.	Transitive																																																										
2812	վերածել	2		քաղել	վերած	Regular	C	E-Class	-ել	To reduce, to bring down, to convert, to transform, to elevate, to bear on high.	Transitive																																																										
2813	վերածնիլ	56		նստիլ	վերածն	Irregular	C		-իլ	To be regenerated, to be born again.	Intransitive																																																										
2814	վերակազմել	2		քաղել	վերակազմ	Regular	C	E-Class	-ել	To reorganize.	Transitive																																																										
2815	վերականգնել	2		քաղել	վերականգն	Regular	C	E-Class	-ել	To raise again, to lift up again, to restore, to revive, to reestablish, to set up again.	Transitive																																																										
2816	վերականգնիլ	4	Basic	խօսիլ	վերականգն	Regular	C	I-Class	-իլ	To recover, to rise again, to rise up, to be revived, to take refreshment.	Intransitive																																																										
2817	վերակառուցել	2		քաղել	վերակառուց	Regular	C	E-Class	-ել		Transitive																																																										
2818	վերակենդանանալ	20		նիհարնալ	վերակենդանա	Regular	C	Inchoative	-նալ	To restore to life, to revive.	Intransitive																																																										
2819	վերակենդանացնել	10	Basic	մօտեցնել	վերակենդանա	Regular	C	Causative	-ցնել	To reanimate, to enliven.	Transitive																																																										
2820	վերակերտել	2		քաղել	վերակերտ	Regular	C	E-Class	-ել		Transitive																																																										
2821	վերակոչել	2		քաղել	վերակոչ	Regular	C	E-Class	-ել	To call again, to recall, to invoke, to invocate, to request, to demand.	Transitive																																																										
2822	վերահաստատել	2		քաղել	վերահաստատ	Regular	C	E-Class	-ել	To restore, to refund; to re-establish, to reaffirm, to reassert, to set again.	Transitive																																																										
2823	վերահաստատուիլ	4	Passive	բուժուիլ	վերահաստատ	Regular	C	Passive	-ուիլ	To be re-established, to be restored.	Intransitive																																																										
2824	վերահսկել	2		քաղել	վերահսկ	Regular	C	E-Class	-ել	To superintend, to inspect, to watch, to look after.	Transitive																																																										
2825	վերամկրտել	2		քաղել	վերամկրտ	Regular	C	E-Class	-ել	To rebaptize.	Transitive																																																										
2826	վերամշակել	2		քաղել	վերամշակ	Regular	C	E-Class	-ել		Transitive																																																										
2827	վերամուսնանալ	20		նիհարնալ	վերամուսնա	Regular	C	Inchoative	-նալ	To marry again.	Intransitive																																																										
2828	վերանալ	20		նիհարնալ	վերա	Regular	C	Inchoative	-նալ	To mount, to arise, to ascend, to get up, to go up, to soar.	Intransitive																																																										
2829	վերանայիլ	4	Basic	խօսիլ	վերանայ	Regular	C	I-Class	-իլ		Transitive																																																										
2830	վերանորոգել	2		քաղել	վերանորոգ	Regular	C	E-Class	-ել	To renew, to renovate, to revive, to refresh, to restore, to regenerate.	Transitive																																																										
2831	վերաշինել	2		քաղել	վերաշին	Regular	C	E-Class	-ել	To rebuild, to build again.	Transitive																																																										
2832	վերապրիլ	4	Basic	խօսիլ	վերապր	Regular	C	I-Class	-իլ		Intransitive																																																										
2833	վերարծարծել	2		քաղել	վերարծարծ	Regular	C	E-Class	-ել	To stir up, to poke, to relight, to light again, to revive, to rekindle.	Transitive																																																										
2834	վերարտադրել	2		քաղել	վերարտադր	Regular	C	E-Class	-ել	To reproduce.	Transitive																																																										
2835	վերացնել	10	Basic	մօտեցնել	վերա	Regular	C	Causative	-ցնել	To raise up, to exalt, lift up, to separate, to abstract.	Transitive																																																										
2836	վերափոխել	2		քաղել	վերափոխ	Regular	C	E-Class	-ել	To transport on high, to transform.	Transitive																																																										
2837	վերաքննել	2		քաղել	վերաքնն	Regular	C	E-Class	-ել	To revise, to review, to examine.	Transitive																																																										
2838	վերերեւիլ	4	Basic	խօսիլ	վերերեւ	Regular	C	I-Class	-իլ	To reappear, to shoot forth, to be born.	Intransitive																																																										
2839	վերընդունիլ	4	Basic	խօսիլ	վերընդուն	Regular	C	I-Class	-իլ	To receive, to accept.	Intransitive																																																										
2840	վերընձիւղել	2		քաղել	վերընձիւղ	Regular	C	E-Class	-ել	To bud again, to shoot again.	Intransitive																																																										
2841	վերընտրել	2		քաղել	վերընտր	Regular	C	E-Class	-ել	To reelect.	Transitive																																																										
2842	վերընտրուիլ	4	Passive	բուժուիլ	վերընտր	Regular	C	Passive	-ուիլ	To be reelected.	Intransitive																																																										
2843	վերլուծել	2		քաղել	վերլուծ	Regular	C	E-Class	-ել	To analyze.	Transitive																																																										
2844	վերծանել	2		քաղել	վերծան	Regular	C	E-Class	-ել	To read, to recite, to decipher.	Transitive																																																										
2845	վերյիշել	2		քաղել	վերյիշ	Regular	C	E-Class	-ել	To call up. to bring to remembrance, to revive the memory of.	Intransitive																																																										
2846	վերնագրել	2		քաղել	վերնագր	Regular	C	E-Class	-ել	To entitle, to call, to ascribe.	Transitive																																																										
2847	վերնալ	20		նիհարնալ	վեր	Regular	C	Inchoative	-նալ	To rise, to get up, to stand up.	Intransitive																																																										
2848	վերջանալ	20		նիհարնալ	վերջա	Regular	C	Inchoative	-նալ	To finish, to terminate, to conclude, to be over, to be at an end.	Intransitive																																																										
2849	վերջացնել	10	Basic	մօտեցնել	վերջա	Regular	C	Causative	-ցնել	To finish, to close, to end, to conclude, to terminate.	Transitive																																																										
2850	վերսկսիլ	56		նստիլ	վերսկս	Irregular	C		-իլ	To begin again, to recommence.	Intransitive																																																										
2851	վերստուգել	2		քաղել	վերստուգ	Regular	C	E-Class	-ել		Transitive																																																										
2852	վերցնել	10	Basic	մօտեցնել	վեր	Regular	C	Causative	-ցնել	To raise up, to raise, to exalt, to lift up, to take up, to carry, to take away, to hear, to support.	Transitive																																																										
2853	վզզալ	6		կարդալ	վզզ	Regular	C	A-Class	-ալ		Intransitive																																																										
2854	վթարել	2		քաղել	վթար	Regular	C	E-Class	-ել	To injure, to damage, to cause to deteriorate.	Transitive																																																										
2855	վիժեցնել	10	Basic	մօտեցնել	վիժե	Regular	C	Causative	-ցնել	To cause or procure abortion.	Transitive																																																										
2856	վիժիլ	4	Basic	խօսիլ	վիժ	Regular	C	I-Class	-իլ	To abort, to miscarry, to flow away, to flow, to prove abortive.	Intransitive																																																										
2857	վիճաբանիլ	4	Basic	խօսիլ	վիճաբան	Regular	C	I-Class	-իլ	To discuss, to debate, to dispute, to wrangle.	Transitive																																																										
2858	վիճակել	2		քաղել	վիճակ	Regular	C	E-Class	-ել	To choose, to name, to make to inherit, to settle, to institute, to appoint, to establish.	Transitive																																																										
2859	վիճակուիլ	4	Passive	բուժուիլ	վիճակ	Regular	C	Passive	-ուիլ		Intransitive																																																										
2860	վիճարկել	2		քաղել	վիճարկ	Regular	C	E-Class	-ել		Transitive																																																										
