Index	Verb	Class number	Subclass	Example lemma	Stem	Regularity	Initial segment	Regular category	Affix	Translation	Transitivity																																																										
145	արդարանալ	19		ամչնալ	արդարա	Regular	V	Inchoative	-նալ	To become justified, to be righteous.	Intransitive																																																										
146	արդարացնել	9	Basic	աճեցնել	արդարա	Regular	V	Causative	-ցնել	To justify, to excuse, to verify.	Transitive																																																										
147	արդիւնաւորել	1		երգել	արդիւնաւոր	Regular	V	E-Class	-ել	To effect, to realize.	Transitive																																																										
148	արդուկել	1		երգել	արդուկ	Regular	V	E-Class	-ել	To iron.	Transitive																																																										
149	արթննալ	19		ամչնալ	արթն	Regular	V	Inchoative	-նալ	To awake, to wake up.	Intransitive																																																										
150	արթնցնել	9	Basic	աճեցնել	արթն	Regular	V	Causative	-ցնել	To awaken, to awake, to rouse, to animate.	Transitive																																																										
151	արժանանալ	19		ամչնալ	արժանա	Regular	V	Inchoative	-նալ	To merit, to become worthy.	Intransitive																																																										
152	արժանացնել	9	Basic	աճեցնել	արժանա	Regular	V	Causative	-ցնել	To render worthy, meritorious.	Transitive																																																										
153	արժեզրկել	1		երգել	արժեզրկ	Regular	V	E-Class	-ել		Transitive																																																										
154	արժել	1		երգել	արժ	Regular	V	E-Class	-ել	To cost, to worth, to be worth.	Intransitive																																																										
155	արժեւորել	1		երգել	արժեւոր	Regular	V	E-Class	-ել		Transitive																																																										
156	արժէքազրկել	1		երգել	արժէքազրկ	Regular	V	E-Class	-ել		Transitive																																																										
157	արժէքաւորել	1		երգել	արժէքաւոր	Regular	V	E-Class	-ել		Transitive																																																										
158	արիանալ	19		ամչնալ	արիա	Regular	V	Inchoative	-նալ	To be courageous, to take courage.	Intransitive																																																										
159	արիւնել	1		երգել	արիւն	Regular	V	E-Class	-ել	To bleed.	Transitive																																																										
160	արիւնիլ	3	Basic	ապրիլ	արիւն	Regular	V	I-Class	-իլ		Intransitive																																																										
161	արծարծել	1		երգել	արծարծ	Regular	V	E-Class	-ել	To revive, to stir up.	Transitive																																																										
