Index	Verb	Class number	Class example	Stem	Regularity	Regular category	Phonological marker	Morphological marker	Comment	
2675	սղոցել	2	քաղել	սղոց	Regular	E-Class	C-initial	-ել		
2676	սմքիլ	4	խօսիլ	սմք	Regular	I-Class	C-initial	-իլ		
2677	սնանիլ	18	սնանիլ	սնան	Regular (identical to 4)	I-Class	C-initial	-անիլ		
2678	սնանկանալ	20	նիհարնալ	սնանկ	Regular	Inchoative	C-initial	-նալ		
2679	սնանկացնել	10	մօտեցնել	սնանկա	Regular	Causative	C-initial	-ցնել		
2680	սնգուրել	2	քաղել	սնգուր	Regular	E-Class	C-initial	-ել		
2681	սնուցանել	12	ծանուցանել	սնուց	Archaic		C-initial	-ուցանել		
2682	սոթտել	2	քաղել	սոթտ	Regular	E-Class	C-initial	-ել		
2683	սոթտուիլ	4	խօսիլ	սոթտ	Regular	Passive	C-initial	-իլ		
2684	սողալ	6	կարդալ	սող	Regular	A-Class	C-initial	-ալ		
2685	սողոսկիլ	4	խօսիլ	սողոսկ	Regular	I-Class	C-initial	-իլ		
2686	սոնքալ	6	կարդալ	սոնք	Regular	A-Class	C-initial	-ալ		
2687	սոսկալ	6	կարդալ	սոսկ	Regular	A-Class	C-initial	-ալ		
2688	սոսկացնել	10	մօտեցնել	սոսկա	Regular	Causative	C-initial	-ցնել		
2689	սոսնձել	2	քաղել	սոսնձ	Regular	E-Class	C-initial	-ել		
2690	սոսորդել	2	քաղել	սոսորդ	Regular	E-Class	C-initial	-ել		
2691	սորիլ	4	խօսիլ	սոր	Regular	I-Class	C-initial	-իլ		
2692	սորսորիլ	4	խօսիլ	սորսոր	Regular	I-Class	C-initial	-իլ		
2693	սորվիլ	4	խօսիլ	սորվ	Regular	I-Class	C-initial	-իլ		
2694	սուաղիլ	4	խօսիլ	սուաղ	Regular	I-Class	C-initial	-իլ		
2695	սուզել	2	քաղել	սուզ	Regular	E-Class	C-initial	-ել		
2696	սուզուիլ	4	խօսիլ	սուզ	Regular	Passive	C-initial	-իլ		
2697	սուլել	2	քաղել	սուլ	Regular	E-Class	C-initial	-ել		
2698	սուղնալ	20	նիհարնալ	սուղ	Regular	Inchoative	C-initial	-նալ		
2699	սուղցնել	10	մօտեցնել	սուղ	Regular	Causative	C-initial	-ցնել		
2700	սուսերամարտիլ	4	խօսիլ	սուսերամարտ	Regular	I-Class	C-initial	-իլ		
2701	սուրալ	6	կարդալ	սուր	Regular	A-Class	C-initial	-ալ		
2702	սպաննել	2	քաղել	սպանն	Regular	E-Class	C-initial	-ել		
2703	սպառազինել	2	քաղել	սպառազին	Regular	E-Class	C-initial	-ել		
2704	սպառազինուիլ	4	խօսիլ	սպառազին	Regular	Passive	C-initial	-իլ		
2705	սպառել	2	քաղել	սպառ	Regular	E-Class	C-initial	-ել		
2706	սպառիլ	4	խօսիլ	սպառ	Regular	I-Class	C-initial	-իլ		
2707	սպառնալ	55	մնալ	սպառն	Irregular			-ալ 		
2708	սպասարկել	2	քաղել	սպասարկ	Regular	E-Class	C-initial	-ել		
2709	սպասաւորել	2	քաղել	սպասաւոր	Regular	E-Class	C-initial	-ել		
2710	սպասել	2	քաղել	սպաս	Regular	E-Class	C-initial	-ել		
2711	սպիանալ	20	նիհարնալ	սպի	Regular	Inchoative	C-initial	-նալ		
2712	սպիացնել	10	մօտեցնել	սպիա	Regular	Causative	C-initial	-ցնել		
2713	սպրդեցնել	10	մօտեցնել	սպրդե	Regular	Causative	C-initial	-ցնել		
2714	սպրդիլ	4	խօսիլ	սպրդ	Regular	I-Class	C-initial	-իլ		
2715	ստանալ	20	նիհարնալ	ստ	Regular	Inchoative	C-initial	-նալ		
2716	ստանձնել	10	մօտեցնել	ստան	Regular	Causative	C-initial	-ցնել		
2717	ստգտանել	2	քաղել	ստգտան	Regular	E-Class	C-initial	-ել		
2718	ստել	2	քաղել	ստ	Regular	E-Class	C-initial	-ել		
2719	ստեղծել	2	քաղել	ստեղծ	Regular	E-Class	C-initial	-ել		
2720	ստեղծուիլ	4	խօսիլ	ստեղծ	Regular	Passive	C-initial	-իլ		
2721	ստիպել	2	քաղել	ստիպ	Regular	E-Class	C-initial	-ել		
2722	ստիպուիլ	4	խօսիլ	ստիպ	Regular	Passive	C-initial	-իլ		
2723	ստկել	2	քաղել	ստկ	Regular	E-Class	C-initial	-ել		
2724	ստորագծել	2	քաղել	ստորագծ	Regular	E-Class	C-initial	-ել		
2725	ստորագնահատել	2	քաղել	ստորագնահատ	Regular	E-Class	C-initial	-ել		
2726	ստորագրել	2	քաղել	ստորագր	Regular	E-Class	C-initial	-ել		
2727	ստորադասել	2	քաղել	ստորադաս	Regular	E-Class	C-initial	-ել		
2728	ստորնանալ	20	նիհարնալ	ստորն	Regular	Inchoative	C-initial	-նալ		
2729	ստորոգել	2	քաղել	ստորոգ	Regular	E-Class	C-initial	-ել		
2730	ստուարանալ	20	նիհարնալ	ստուար	Regular	Inchoative	C-initial	-նալ		
2731	ստուարացնել	10	մօտեցնել	ստուարա	Regular	Causative	C-initial	-ցնել		
2732	ստուգել	2	քաղել	ստուգ	Regular	E-Class	C-initial	-ել		
2733	ստուերագրել	2	քաղել	ստուերագր	Regular	E-Class	C-initial	-ել		
2734	ստուերել	2	քաղել	ստուեր	Regular	E-Class	C-initial	-ել		
2735	ստրկանալ	20	նիհարնալ	ստրկ	Regular	Inchoative	C-initial	-նալ		
2736	ստրկացնել	10	մօտեցնել	ստրկա	Regular	Causative	C-initial	-ցնել		
2737	սրածել	2	քաղել	սրած	Regular	E-Class	C-initial	-ել		
2738	սրատել	2	քաղել	սրատ	Regular	E-Class	C-initial	-ել		
2739	սրբագործել	2	քաղել	սրբագործ	Regular	E-Class	C-initial	-ել		
2740	սրբագրել	2	քաղել	սրբագր	Regular	E-Class	C-initial	-ել		
2741	սրբանալ	20	նիհարնալ	սրբ	Regular	Inchoative	C-initial	-նալ		
2742	սրբացնել	10	մօտեցնել	սրբա	Regular	Causative	C-initial	-ցնել		
2743	սրբել	2	քաղել	սրբ	Regular	E-Class	C-initial	-ել		
2744	սրդողեցնել	10	մօտեցնել	սրդողե	Regular	Causative	C-initial	-ցնել		
2745	սրդողիլ	4	խօսիլ	սրդող	Regular	I-Class	C-initial	-իլ		
2746	սրել	2	քաղել	սր	Regular	E-Class	C-initial	-ել		
2747	սրսկել	2	քաղել	սրսկ	Regular	E-Class	C-initial	-ել		
2748	սրսփալ	6	կարդալ	սրսփ	Regular	A-Class	C-initial	-ալ		
2749	սրտապնդել	2	քաղել	սրտապնդ	Regular	E-Class	C-initial	-ել		
2750	սփռել	2	քաղել	սփռ	Regular	E-Class	C-initial	-ել		
2751	սքանչանալ	20	նիհարնալ	սքանչ	Regular	Inchoative	C-initial	-նալ		
2752	սքանչացնել	10	մօտեցնել	սքանչա	Regular	Causative	C-initial	-ցնել		
2753	սքողել	2	քաղել	սքող	Regular	E-Class	C-initial	-ել		
2754	սքողուիլ	4	խօսիլ	սքող	Regular	Passive	C-initial	-իլ		
2755	սքօղել	2	քաղել	սքօղ	Regular	E-Class	C-initial	-ել		
2756	սքօղուիլ	4	խօսիլ	սքօղ	Regular	Passive	C-initial	-իլ		
2757	սօսափել	2	քաղել	սօսափ	Regular	E-Class	C-initial	-ել		
2758	վագել	2	քաղել	վագ	Regular	E-Class	C-initial	-ել		
2759	վազել	2	քաղել	վազ	Regular	E-Class	C-initial	-ել		
2760	վազվզել	2	քաղել	վազվզ	Regular	E-Class	C-initial	-ել		
2761	վազվռտել	2	քաղել	վազվռտ	Regular	E-Class	C-initial	-ել		
2762	վաթել	2	քաղել	վաթ	Regular	E-Class	C-initial	-ել		
2763	վախճանիլ	18	սնանիլ	վախճան	Regular (identical to 4)	I-Class	C-initial	-անիլ		
2764	վախնալ	20	նիհարնալ	վախ	Regular	Inchoative	C-initial	-նալ		
2765	վախցնել	10	մօտեցնել	վախ	Regular	Causative	C-initial	-ցնել		
2766	վաճառել	2	քաղել	վաճառ	Regular	E-Class	C-initial	-ել		
2767	վաճառուիլ	4	խօսիլ	վաճառ	Regular	Passive	C-initial	-իլ		
2768	վայել	2	քաղել	վայ	Regular	E-Class	C-initial	-ել		
2769	վայելել	2	քաղել	վայել	Regular	E-Class	C-initial	-ել		
2770	վայլել	2	քաղել	վայլ	Regular	E-Class	C-initial	-ել		
2771	վայրենանալ	20	նիհարնալ	վայրեն	Regular	Inchoative	C-initial	-նալ		
2772	վայրենացնել	10	մօտեցնել	վայրենա	Regular	Causative	C-initial	-ցնել		
2773	վանդակել	2	քաղել	վանդակ	Regular	E-Class	C-initial	-ել		
2774	վանդել	2	քաղել	վանդ	Regular	E-Class	C-initial	-ել		
2775	վանել	2	քաղել	վան	Regular	E-Class	C-initial	-ել		
2776	վառել	2	քաղել	վառ	Regular	E-Class	C-initial	-ել		
2777	վառիլ	4	խօսիլ	վառ	Regular	I-Class	C-initial	-իլ		
2778	վաստակիլ	4	խօսիլ	վաստակ	Regular	I-Class	C-initial	-իլ		
2779	վաստկիլ	4	խօսիլ	վաստկ	Regular	I-Class	C-initial	-իլ		
2780	վատաբանել	2	քաղել	վատաբան	Regular	E-Class	C-initial	-ել		
2781	վատանալ	20	նիհարնալ	վատ	Regular	Inchoative	C-initial	-նալ		
2782	վատթարանալ	20	նիհարնալ	վատթար	Regular	Inchoative	C-initial	-նալ		
2783	վատթարացնել	10	մօտեցնել	վատթարա	Regular	Causative	C-initial	-ցնել		
2784	վատնել	2	քաղել	վատն	Regular	E-Class	C-initial	-ել		
2785	վարագուրել	2	քաղել	վարագուր	Regular	E-Class	C-initial	-ել		
2786	վարակել	2	քաղել	վարակ	Regular	E-Class	C-initial	-ել		
2787	վարակուիլ	4	խօսիլ	վարակ	Regular	Passive	C-initial	-իլ		
2788	վարանիլ	4	խօսիլ	վարան	Regular	I-Class	C-initial	-իլ		
2789	վարատել	2	քաղել	վարատ	Regular	E-Class	C-initial	-ել		
2790	վարարիլ	4	խօսիլ	վարար	Regular	I-Class	C-initial	-իլ		
2791	վարգել	2	քաղել	վարգ	Regular	E-Class	C-initial	-ել		
2792	վարդապետել	2	քաղել	վարդապետ	Regular	E-Class	C-initial	-ել		
2793	վարել	2	քաղել	վար	Regular	E-Class	C-initial	-ել		
2794	վարժեցնել	10	մօտեցնել	վարժե	Regular	Causative	C-initial	-ցնել		
2795	վարժուիլ	4	խօսիլ	վարժ	Regular	Passive	C-initial	-իլ		
2796	վարկաբեկել	2	քաղել	վարկաբեկ	Regular	E-Class	C-initial	-ել		
2797	վարկագրել	2	քաղել	վարկագր	Regular	E-Class	C-initial	-ել		
2798	վարձատրել	2	քաղել	վարձատր	Regular	E-Class	C-initial	-ել		
2799	վարձել	2	քաղել	վարձ	Regular	E-Class	C-initial	-ել		
2800	վարուիլ	4	խօսիլ	վար	Regular	Passive	C-initial	-իլ		
2801	վարսել	2	քաղել	վարս	Regular	E-Class	C-initial	-ել		
2802	վաւերացնել	10	մօտեցնել	վաւերա	Regular	Causative	C-initial	-ցնել		
2803	վեհերիլ	2	քաղել	վեհեր	Regular	E-Class	C-initial	-ել		
2804	վերաբերիլ	4	խօսիլ	վերաբեր	Regular	I-Class	C-initial	-իլ		
2805	վերագնահատել	2	քաղել	վերագնահատ	Regular	E-Class	C-initial	-ել		
2806	վերագրել	2	քաղել	վերագր	Regular	E-Class	C-initial	-ել		
2807	վերադառնալ	40	դառնալ	վերադառն	Suppletive		C-initial	Lexeme դառնալ		
2808	վերադարձնել	10	մօտեցնել	վերադար	Regular	Causative	C-initial	-ցնել		
2809	վերազինել	2	քաղել	վերազին	Regular	E-Class	C-initial	-ել		
2810	վերազինուիլ	4	խօսիլ	վերազին	Regular	Passive	C-initial	-իլ		
2811	վերախմբել	2	քաղել	վերախմբ	Regular	E-Class	C-initial	-ել		
2812	վերածել	2	քաղել	վերած	Regular	E-Class	C-initial	-ել		
2813	վերածնիլ	56	նստիլ	վերածն	Irregular			-իլ		
2814	վերակազմել	2	քաղել	վերակազմ	Regular	E-Class	C-initial	-ել		
2815	վերականգնել	2	քաղել	վերականգն	Regular	E-Class	C-initial	-ել		
2816	վերականգնիլ	4	խօսիլ	վերականգն	Regular	I-Class	C-initial	-իլ		
2817	վերակառուցել	2	քաղել	վերակառուց	Regular	E-Class	C-initial	-ել		
2818	վերակենդանանալ	20	նիհարնալ	վերակենդան	Regular	Inchoative	C-initial	-նալ		
2819	վերակենդանացնել	10	մօտեցնել	վերակենդանա	Regular	Causative	C-initial	-ցնել		
2820	վերակերտել	2	քաղել	վերակերտ	Regular	E-Class	C-initial	-ել		
2821	վերակոչել	2	քաղել	վերակոչ	Regular	E-Class	C-initial	-ել		
2822	վերահաստատել	2	քաղել	վերահաստատ	Regular	E-Class	C-initial	-ել		
2823	վերահաստատուիլ	4	խօսիլ	վերահաստատ	Regular	Passive	C-initial	-իլ		
2824	վերահսկել	2	քաղել	վերահսկ	Regular	E-Class	C-initial	-ել		
2825	վերամկրտել	2	քաղել	վերամկրտ	Regular	E-Class	C-initial	-ել		
2826	վերամշակել	2	քաղել	վերամշակ	Regular	E-Class	C-initial	-ել		
2827	վերամուսնանալ	20	նիհարնալ	վերամուսն	Regular	Inchoative	C-initial	-նալ		
2828	վերանալ	20	նիհարնալ	վեր	Regular	Inchoative	C-initial	-նալ		
2829	վերանայիլ	4	խօսիլ	վերանայ	Regular	I-Class	C-initial	-իլ		
2830	վերանորոգել	2	քաղել	վերանորոգ	Regular	E-Class	C-initial	-ել		
2831	վերաշինել	2	քաղել	վերաշին	Regular	E-Class	C-initial	-ել		
2832	վերապրիլ	4	խօսիլ	վերապր	Regular	I-Class	C-initial	-իլ		
2833	վերարծարծել	2	քաղել	վերարծարծ	Regular	E-Class	C-initial	-ել		
2834	վերարտադրել	2	քաղել	վերարտադր	Regular	E-Class	C-initial	-ել		
2835	վերացնել	10	մօտեցնել	վերա	Regular	Causative	C-initial	-ցնել		
2836	վերափոխել	2	քաղել	վերափոխ	Regular	E-Class	C-initial	-ել		
2837	վերաքննել	2	քաղել	վերաքնն	Regular	E-Class	C-initial	-ել		
2838	վերերեւիլ	4	խօսիլ	վերեր	Regular	Passive	C-initial	-իլ		
2839	վերընդունիլ	4	խօսիլ	վերընդուն	Regular	I-Class	C-initial	-իլ		
2840	վերընձիւղել	2	քաղել	վերընձիւղ	Regular	E-Class	C-initial	-ել		
2841	վերընտրել	2	քաղել	վերընտր	Regular	E-Class	C-initial	-ել		
2842	վերընտրուիլ	4	խօսիլ	վերընտր	Regular	Passive	C-initial	-իլ		
2843	վերլուծել	2	քաղել	վերլուծ	Regular	E-Class	C-initial	-ել		
2844	վերծանել	2	քաղել	վերծան	Regular	E-Class	C-initial	-ել		
2845	վերյիշել	2	քաղել	վերյիշ	Regular	E-Class	C-initial	-ել		
2846	վերնագրել	2	քաղել	վերնագր	Regular	E-Class	C-initial	-ել		
2847	վերնալ	20	նիհարնալ	վեր	Regular	Inchoative	C-initial	-նալ		
2848	վերջանալ	20	նիհարնալ	վերջ	Regular	Inchoative	C-initial	-նալ		
2849	վերջացնել	10	մօտեցնել	վերջա	Regular	Causative	C-initial	-ցնել		
2850	վերսկսիլ	56	նստիլ	վերսկս	Irregular			-իլ		
2851	վերստուգել	2	քաղել	վերստուգ	Regular	E-Class	C-initial	-ել		
2852	վերցնել	10	մօտեցնել	վեր	Regular	Causative	C-initial	-ցնել		
2853	վզզալ	6	կարդալ	վզզ	Regular	A-Class	C-initial	-ալ		
2854	վթարել	2	քաղել	վթար	Regular	E-Class	C-initial	-ել		
2855	վիժեցնել	10	մօտեցնել	վիժե	Regular	Causative	C-initial	-ցնել		
2856	վիժիլ	4	խօսիլ	վիժ	Regular	I-Class	C-initial	-իլ		
2857	վիճաբանիլ	4	խօսիլ	վիճաբան	Regular	I-Class	C-initial	-իլ		
2858	վիճակել	2	քաղել	վիճակ	Regular	E-Class	C-initial	-ել		
2859	վիճակուիլ	4	խօսիլ	վիճակ	Regular	Passive	C-initial	-իլ		
2860	վիճարկել	2	քաղել	վիճարկ	Regular	E-Class	C-initial	-ել		
2861	վիճիլ	4	խօսիլ	վիճ	Regular	I-Class	C-initial	-իլ		
2862	վիմագրել	2	քաղել	վիմագր	Regular	E-Class	C-initial	-ել		
2863	վիպել	2	քաղել	վիպ	Regular	E-Class	C-initial	-ել		
2864	վիրալ	6	կարդալ	վիր	Regular	A-Class	C-initial	-ալ		
2865	վիրաւորել	2	քաղել	վիրաւոր	Regular	E-Class	C-initial	-ել		
2866	վիրաւորուիլ	4	խօսիլ	վիրաւոր	Regular	Passive	C-initial	-իլ		
2867	վխտալ	6	կարդալ	վխտ	Regular	A-Class	C-initial	-ալ		
2868	վկայել	2	քաղել	վկայ	Regular	E-Class	C-initial	-ել		
2869	վկանդել	2	քաղել	վկանդ	Regular	E-Class	C-initial	-ել		
2870	վհատեցնել	10	մօտեցնել	վհատե	Regular	Causative	C-initial	-ցնել		
2871	վհատիլ	4	խօսիլ	վհատ	Regular	I-Class	C-initial	-իլ		
2872	վճարել	2	քաղել	վճար	Regular	E-Class	C-initial	-ել		
2873	վճռել	2	քաղել	վճռ	Regular	E-Class	C-initial	-ել		
2874	վնասել	2	քաղել	վնաս	Regular	E-Class	C-initial	-ել		
2875	վնասուիլ	4	խօսիլ	վնաս	Regular	Passive	C-initial	-իլ		
2876	վշտակցիլ	4	խօսիլ	վշտակց	Regular	I-Class	C-initial	-իլ		
2877	վշտանալ	20	նիհարնալ	վշտ	Regular	Inchoative	C-initial	-նալ		
2878	վշտացնել	10	մօտեցնել	վշտա	Regular	Causative	C-initial	-ցնել		
2879	վռնտել	2	քաղել	վռնտ	Regular	E-Class	C-initial	-ել		
2880	վռնտուիլ	4	խօսիլ	վռնտ	Regular	Passive	C-initial	-իլ		
2881	վսեմացնել	10	մօտեցնել	վսեմա	Regular	Causative	C-initial	-ցնել		
2882	վստահեցնել	10	մօտեցնել	վստահե	Regular	Causative	C-initial	-ցնել		
2883	վստահիլ	4	խօսիլ	վստահ	Regular	I-Class	C-initial	-իլ		
2884	վտանգել	2	քաղել	վտանգ	Regular	E-Class	C-initial	-ել		
2885	վտանգուիլ	4	խօսիլ	վտանգ	Regular	Passive	C-initial	-իլ		
2886	վտարել	2	քաղել	վտար	Regular	E-Class	C-initial	-ել		
2887	վտարուիլ	4	խօսիլ	վտար	Regular	Passive	C-initial	-իլ		
2888	վրդովել	2	քաղել	վրդով	Regular	E-Class	C-initial	-ել		
2889	վրդովիլ	4	խօսիլ	վրդով	Regular	I-Class	C-initial	-իլ		
2890	վրդովուիլ	4	խօսիլ	վրդով	Regular	Passive	C-initial	-իլ		
2891	վրիպեցնել	10	մօտեցնել	վրիպե	Regular	Causative	C-initial	-ցնել		
2892	վրիպիլ	4	խօսիլ	վրիպ	Regular	I-Class	C-initial	-իլ		
2893	վրնջել	2	քաղել	վրնջ	Regular	E-Class	C-initial	-ել		
2894	տագնապեցնել	10	մօտեցնել	տագնապե	Regular	Causative	C-initial	-ցնել		
2895	տագնապիլ	4	խօսիլ	տագնապ	Regular	I-Class	C-initial	-իլ		
2896	տալ	36	տալ	տ	Suppletive			Lexeme		
2897	տախտապարել	2	քաղել	տախտապար	Regular	E-Class	C-initial	-ել		
2898	տածել	2	քաղել	տած	Regular	E-Class	C-initial	-ել		
2899	տաղաչափել	2	քաղել	տաղաչափ	Regular	E-Class	C-initial	-ել		
2900	տաղել	2	քաղել	տաղ	Regular	E-Class	C-initial	-ել		
2901	տամկանալ	20	նիհարնալ	տամկ	Regular	Inchoative	C-initial	-նալ		
2902	տամկացնել	10	մօտեցնել	տամկա	Regular	Causative	C-initial	-ցնել		
2903	տանիլ	58	տանիլ	տան	Suppletive			Lexeme		
2904	տանջել	2	քաղել	տանջ	Regular	E-Class	C-initial	-ել		
2905	տանջուիլ	4	խօսիլ	տանջ	Regular	Passive	C-initial	-իլ		
2906	տաշել	2	քաղել	տաշ	Regular	E-Class	C-initial	-ել		
2907	տապալել	2	քաղել	տապալ	Regular	E-Class	C-initial	-ել		
2908	տապալիլ	4	խօսիլ	տապալ	Regular	I-Class	C-initial	-իլ		
2909	տապակել	2	քաղել	տապակ	Regular	E-Class	C-initial	-ել		
2910	տապիլ	4	խօսիլ	տապ	Regular	I-Class	C-initial	-իլ		
2911	տապլտկիլ	4	խօսիլ	տապլտկ	Regular	I-Class	C-initial	-իլ		
2912	տապկել	2	քաղել	տապկ	Regular	E-Class	C-initial	-ել		
2913	տառապեցնել	10	մօտեցնել	տառապե	Regular	Causative	C-initial	-ցնել		
2914	տառապիլ	4	խօսիլ	տառապ	Regular	I-Class	C-initial	-իլ		
2915	տասնապատկել	2	քաղել	տասնապատկ	Regular	E-Class	C-initial	-ել		
2916	տատամսիլ	4	խօսիլ	տատամս	Regular	I-Class	C-initial	-իլ		
2917	տատանիլ	4	խօսիլ	տատան	Regular	I-Class	C-initial	-իլ		
2918	տարագրել	2	քաղել	տարագր	Regular	E-Class	C-initial	-ել		
2919	տարագրուիլ	4	խօսիլ	տարագր	Regular	Passive	C-initial	-իլ		
2920	տարածել	2	քաղել	տարած	Regular	E-Class	C-initial	-ել		
2921	տարածուիլ	4	խօսիլ	տարած	Regular	Passive	C-initial	-իլ		
2922	տարակուսիլ	4	խօսիլ	տարակուս	Regular	I-Class	C-initial	-իլ		
2923	տարաձայնել	2	քաղել	տարաձայն	Regular	E-Class	C-initial	-ել		
2924	տարաձայնուիլ	4	խօսիլ	տարաձայն	Regular	Passive	C-initial	-իլ		
2925	տարանջատել	2	քաղել	տարանջատ	Regular	E-Class	C-initial	-ել		
2926	տարբաղադրել	2	քաղել	տարբաղադր	Regular	E-Class	C-initial	-ել		
2927	տարբաղադրուիլ	4	խօսիլ	տարբաղադր	Regular	Passive	C-initial	-իլ		
2928	տարբերել	2	քաղել	տարբեր	Regular	E-Class	C-initial	-ել		
2929	տարբերիլ	4	խօսիլ	տարբեր	Regular	I-Class	C-initial	-իլ		
2930	տարհամոզել	2	քաղել	տարհամոզ	Regular	E-Class	C-initial	-ել		
2931	տարորոշել	2	քաղել	տարորոշ	Regular	E-Class	C-initial	-ել		
2932	տարուբերել	38	բերել	տարուբեր	Irregular		C-initial	Lexeme բերել		
2933	տարուբերիլ	4	խօսիլ	տարուբեր	Regular	I-Class	C-initial	-իլ		
2934	տարուբերուիլ	4	խօսիլ	տարուբեր	Regular	Passive	C-initial	-իլ		
2935	տարուիլ	4	խօսիլ	տար	Regular	Passive	C-initial	-իլ		
2936	տարտղնել	2	քաղել	տարտղն	Regular	E-Class	C-initial	-ել		
2937	տարտղնուիլ	4	խօսիլ	տարտղն	Regular	Passive	C-initial	-իլ		
2938	տարրալուծել	2	քաղել	տարրալուծ	Regular	E-Class	C-initial	-ել		
2939	տարրալուծուիլ	4	խօսիլ	տարրալուծ	Regular	Passive	C-initial	-իլ		
2940	տարփալ	6	կարդալ	տարփ	Regular	A-Class	C-initial	-ալ		
2941	տարփողել	2	քաղել	տարփող	Regular	E-Class	C-initial	-ել		
2942	տափակնալ	20	նիհարնալ	տափակ	Regular	Inchoative	C-initial	-նալ		
2943	տափակցնել	10	մօտեցնել	տափակ	Regular	Causative	C-initial	-ցնել		
2944	տափանել	2	քաղել	տափան	Regular	E-Class	C-initial	-ել		
2945	տափել	2	քաղել	տափ	Regular	E-Class	C-initial	-ել		
2946	տաքնալ	20	նիհարնալ	տաք	Regular	Inchoative	C-initial	-նալ		
2947	տաքցնել	10	մօտեցնել	տաք	Regular	Causative	C-initial	-ցնել		
2948	տգեղնալ	20	նիհարնալ	տգեղ	Regular	Inchoative	C-initial	-նալ		
2949	տգեղցնել	10	մօտեցնել	տգեղ	Regular	Causative	C-initial	-ցնել		
2950	տեառնագրել	2	քաղել	տեառնագր	Regular	E-Class	C-initial	-ել		
2951	տեառնագրուիլ	4	խօսիլ	տեառնագր	Regular	Passive	C-initial	-իլ		
2952	տեղալ	6	կարդալ	տեղ	Regular	A-Class	C-initial	-ալ		
2953	տեղահանել	2	քաղել	տեղահան	Regular	E-Class	C-initial	-ել		
2954	տեղացնել	10	մօտեցնել	տեղա	Regular	Causative	C-initial	-ցնել		
2955	տեղաւորել	2	քաղել	տեղաւոր	Regular	E-Class	C-initial	-ել		
2956	տեղաւորուիլ	4	խօսիլ	տեղաւոր	Regular	Passive	C-initial	-իլ		
2957	տեղափոխել	2	քաղել	տեղափոխ	Regular	E-Class	C-initial	-ել		
2958	տեղափոխուիլ	4	խօսիլ	տեղափոխ	Regular	Passive	C-initial	-իլ		
2959	տեղեկագրել	2	քաղել	տեղեկագր	Regular	E-Class	C-initial	-ել		
2960	տեղեկանալ	20	նիհարնալ	տեղեկ	Regular	Inchoative	C-initial	-նալ		
2961	տեղեկացնել	10	մօտեցնել	տեղեկա	Regular	Causative	C-initial	-ցնել		
2962	տենչալ	6	կարդալ	տենչ	Regular	A-Class	C-initial	-ալ		
2963	տեսակցիլ	4	խօսիլ	տեսակց	Regular	I-Class	C-initial	-իլ		
2964	տեսնալ	24	գտնել/գտնալ	տես	Irregular		C-initial	-նել/-նալ		
2965	տեսնել	24	գտնել/գտնալ	տես	Irregular		C-initial	-նել/-նալ		
2966	տեսնուիլ	4	խօսիլ	տեսն	Regular	Passive	C-initial	-իլ		
2967	տեւականացնել	10	մօտեցնել	տեւականա	Regular	Causative	C-initial	-ցնել		
2968	տեւել	2	քաղել	տեւ	Regular	E-Class	C-initial	-ել		
2969	տզզալ	6	կարդալ	տզզ	Regular	A-Class	C-initial	-ալ		
2970	տժգունիլ	4	խօսիլ	տժգուն	Regular	I-Class	C-initial	-իլ		
2971	տիեզերակալել	2	քաղել	տիեզերակալ	Regular	E-Class	C-initial	-ել		
2972	տիրանալ	20	նիհարնալ	տիր	Regular	Inchoative	C-initial	-նալ		
2973	տիրապետել	2	քաղել	տիրապետ	Regular	E-Class	C-initial	-ել		
2974	տիրել	2	քաղել	տիր	Regular	E-Class	C-initial	-ել		
2975	տխրիլ	4	խօսիլ	տխր	Regular	I-Class	C-initial	-իլ		
2976	տկարանալ	20	նիհարնալ	տկար	Regular	Inchoative	C-initial	-նալ		
2977	տկարացնել	10	մօտեցնել	տկարա	Regular	Causative	C-initial	-ցնել		
2978	տնկել	2	քաղել	տնկ	Regular	E-Class	C-initial	-ել		
2979	տնտեսել	2	քաղել	տնտես	Regular	E-Class	C-initial	-ել		
2980	տնտնալ	6	կարդալ	տնտն	Regular	A-Class	C-initial	-ալ		
2981	տնքալ	6	կարդալ	տնք	Regular	A-Class	C-initial	-ալ		
2982	տնօրինել	2	քաղել	տնօրին	Regular	E-Class	C-initial	-ել		
2983	տոգորել	2	քաղել	տոգոր	Regular	E-Class	C-initial	-ել		
2984	տոգորուիլ	4	խօսիլ	տոգոր	Regular	Passive	C-initial	-իլ		
2985	տոկալ	6	կարդալ	տոկ	Regular	A-Class	C-initial	-ալ		
2986	տողանցել	2	քաղել	տողանց	Regular	E-Class	C-initial	-ել		
2987	տոչորել	2	քաղել	տոչոր	Regular	E-Class	C-initial	-ել		
2988	տոչորուիլ	4	խօսիլ	տոչոր	Regular	Passive	C-initial	-իլ		
2989	տորոմել	2	քաղել	տորոմ	Regular	E-Class	C-initial	-ել		
2990	տորոմիլ	4	խօսիլ	տորոմ	Regular	I-Class	C-initial	-իլ		
2991	տուայտիլ	4	խօսիլ	տուայտ	Regular	I-Class	C-initial	-իլ		
2992	տուգանել	2	քաղել	տուգան	Regular	E-Class	C-initial	-ել		
2993	տուժել	2	քաղել	տուժ	Regular	E-Class	C-initial	-ել		
2994	տոփել	2	քաղել	տոփ	Regular	E-Class	C-initial	-ել		
2995	տպագրել	2	քաղել	տպագր	Regular	E-Class	C-initial	-ել		
