Index	Verb	Class number	Class example	Stem	Regularity	Regular category	Phonological marker	Morphological marker	Comment	
120	առեւանգել	1	երգել	առեւանգ	Regular	E-Class	V-initial	-ել		
121	առթել	1	երգել	առթ	Regular	E-Class	V-initial	-ել		
122	առինքնել	1	երգել	առինքն	Regular	E-Class	V-initial	-ել		
123	առկախել	1	երգել	առկախ	Regular	E-Class	V-initial	-ել		
124	առնել	41	առնել	առն	Irregular			Lexeme		
125	առնուիլ	3	ապրիլ	առն	Regular	Passive	V-initial	-իլ		
126	առողջանալ	19	ամչնալ	առողջ	Regular	Inchoative	V-initial	-նալ		
127	առողջացնել	9	աճեցնել	առողջա	Regular	Causative	V-initial	-ցնել		
128	ասեղագործել	1	երգել	ասեղագործ	Regular	E-Class	V-initial	-ել		
129	ասպատակել	1	երգել	ասպատակ	Regular	E-Class	V-initial	-ել		
130	աստիճանազրկե	1	երգել	աստիճանազր	Regular	E-Class	V-initial	-ել		
131	ատել	1	երգել	ատ	Regular	E-Class	V-initial	-ել		
132	ատուիլ	3	ապրիլ	ատ	Regular	Passive	V-initial	-իլ		
133	արածել	1	երգել	արած	Regular	E-Class	V-initial	-ել		
134	արածիլ	3	ապրիլ	արած	Regular	I-Class	V-initial	-իլ		
135	արաջնորդել	1	երգել	արաջնորդ	Regular	E-Class	V-initial	-ել		
136	արատաւորել	1	երգել	արատաւոր	Regular	E-Class	V-initial	-ել		
137	արբենալ	19	ամչնալ	արբ	Regular	Inchoative	V-initial	-նալ		
138	արբիլ	3	ապրիլ	արբ	Regular	I-Class	V-initial	-իլ		
139	արգահատիլ	3	ապրիլ	արգահատ	Regular	I-Class	V-initial	-իլ		
140	արգասաւորել	1	երգել	արգասաւոր	Regular	E-Class	V-initial	-ել		
141	արգասաւորուիլ	3	ապրիլ	արգասաւոր	Regular	Passive	V-initial	-իլ		
142	արգելակել	1	երգել	արգելակ	Regular	E-Class	V-initial	-ել		
143	արգելափակել	1	երգել	արգելափակ	Regular	E-Class	V-initial	-ել		
144	արգիլել	1	երգել	արգիլ	Regular	E-Class	V-initial	-ել		
145	արդարանալ	19	ամչնալ	արդար	Regular	Inchoative	V-initial	-նալ		
146	արդարացնել	9	աճեցնել	արդարա	Regular	Causative	V-initial	-ցնել		
147	արդիւնաւորել	1	երգել	արդիւնաւոր	Regular	E-Class	V-initial	-ել		
148	արդուկել	1	երգել	արդուկ	Regular	E-Class	V-initial	-ել		
